Time (Years),Stock Price
0.000000,100.000000
0.001000,100.788858
0.002000,100.559926
0.003000,100.577302
0.004000,100.075498
0.005000,101.200452
0.006000,100.067665
0.007000,100.339965
0.008000,100.508034
0.009000,99.879326
0.010000,101.436971
0.011000,100.760305
0.012000,100.564874
0.013000,99.576575
0.014000,99.962814
0.015000,101.267659
0.016000,100.837324
0.017000,99.835510
0.018000,100.330257
0.019000,100.489319
0.020000,100.022949
0.021000,99.990942
0.022000,100.176298
0.023000,100.071916
0.024000,99.970793
0.025000,99.025093
0.026000,97.783573
0.027000,97.713757
0.028000,97.898000
0.029000,98.250699
0.030000,98.325975
0.031000,98.211367
0.032000,98.065436
0.033000,97.404096
0.034000,97.025954
0.035000,96.152799
0.036000,96.685160
0.037000,96.789894
0.038000,96.241287
0.039000,96.639708
0.040000,97.010932
0.041000,97.840729
0.042000,96.425615
0.043000,96.499341
0.044000,96.351193
0.045000,96.354176
0.046000,96.379484
0.047000,97.457352
0.048000,97.427393
0.049000,97.085423
0.050000,96.724764
0.051000,96.201136
0.052000,96.429956
0.053000,96.086221
0.054000,95.747104
0.055000,94.625057
0.056000,96.431429
0.057000,97.044955
0.058000,96.371382
0.059000,96.644863
0.060000,96.699595
0.061000,96.406197
0.062000,96.393439
0.063000,96.979727
0.064000,95.158500
0.065000,95.818583
0.066000,96.196209
0.067000,97.838461
0.068000,98.480498
0.069000,98.717960
0.070000,97.998181
0.071000,98.772745
0.072000,98.779712
0.073000,100.675922
0.074000,100.924204
0.075000,100.970935
0.076000,101.719688
0.077000,101.953988
0.078000,103.200850
0.079000,102.653409
0.080000,102.613597
0.081000,102.487497
0.082000,101.619541
0.083000,101.432930
0.084000,101.642379
0.085000,101.453177
0.086000,102.360250
0.087000,101.594135
0.088000,102.345712
0.089000,102.968082
0.090000,102.781894
0.091000,103.500441
0.092000,103.921194
0.093000,102.502946
0.094000,102.342928
0.095000,102.585599
0.096000,103.767948
0.097000,103.402876
0.098000,102.728434
0.099000,104.240882
0.100000,103.593332
0.101000,112.287697
0.102000,112.729529
0.103000,111.542119
0.104000,111.679883
0.105000,108.576798
0.106000,108.941191
0.107000,108.662931
0.108000,108.932747
0.109000,108.830562
0.110000,109.324579
0.111000,109.839794
0.112000,108.960089
0.113000,107.952038
0.114000,107.875786
0.115000,108.224816
0.116000,107.953376
0.117000,107.016015
0.118000,107.510833
0.119000,107.393076
0.120000,105.430650
0.121000,103.656903
0.122000,103.352840
0.123000,103.426368
0.124000,103.162082
0.125000,102.581384
0.126000,101.237912
0.127000,101.741821
0.128000,103.400933
0.129000,102.284105
0.130000,101.864200
0.131000,101.194166
0.132000,101.575300
0.133000,101.887033
0.134000,101.525173
0.135000,101.161085
0.136000,102.286417
0.137000,101.513615
0.138000,102.557498
0.139000,103.667241
0.140000,104.488776
0.141000,103.796367
0.142000,103.097154
0.143000,103.544133
0.144000,105.123493
0.145000,106.016740
0.146000,105.441307
0.147000,104.469651
0.148000,104.206290
0.149000,105.134701
0.150000,105.246259
0.151000,105.607814
0.152000,105.214766
0.153000,106.156713
0.154000,105.998403
0.155000,104.594062
0.156000,104.734544
0.157000,104.044767
0.158000,105.265548
0.159000,104.655620
0.160000,105.480183
0.161000,105.451090
0.162000,104.476290
0.163000,104.000924
0.164000,104.395461
0.165000,104.830817
0.166000,105.276912
0.167000,105.746269
0.168000,107.505687
0.169000,106.664338
0.170000,107.316164
0.171000,106.076438
0.172000,106.112293
0.173000,106.759334
0.174000,105.264833
0.175000,104.661988
0.176000,104.680771
0.177000,104.685057
0.178000,105.236614
0.179000,105.758153
0.180000,105.300182
0.181000,104.907576
0.182000,105.489135
0.183000,103.992880
0.184000,103.286729
0.185000,102.374094
0.186000,103.889851
0.187000,103.700888
0.188000,104.657124
0.189000,104.986006
0.190000,104.935259
0.191000,105.271951
0.192000,106.186974
0.193000,106.759477
0.194000,106.876250
0.195000,105.174468
0.196000,106.227734
0.197000,106.660473
0.198000,105.956495
0.199000,107.347087
0.200000,108.378785
0.201000,108.087683
0.202000,107.653503
0.203000,107.782926
0.204000,106.719048
0.205000,106.669595
0.206000,105.964414
0.207000,106.594990
0.208000,105.865345
0.209000,106.210519
0.210000,106.722208
0.211000,106.393453
0.212000,104.365097
0.213000,106.095172
0.214000,105.936964
0.215000,106.085214
0.216000,106.158842
0.217000,107.549474
0.218000,106.621108
0.219000,108.637866
0.220000,107.604566
0.221000,108.126170
0.222000,109.175837
0.223000,110.371872
0.224000,109.918033
0.225000,110.764128
0.226000,110.909646
0.227000,110.901703
0.228000,111.152417
0.229000,111.400101
0.230000,109.748731
0.231000,111.264636
0.232000,110.930082
0.233000,111.602888
0.234000,111.675655
0.235000,112.001534
0.236000,110.334778
0.237000,111.885815
