Time (Years),Stock Price
0.000000,100.000000
0.001000,100.731401
0.002000,100.996075
0.003000,100.809863
0.004000,101.940235
0.005000,102.282969
0.006000,101.966687
0.007000,102.823827
0.008000,102.555621
0.009000,102.380628
0.010000,103.231106
0.011000,103.115012
0.012000,103.406705
0.013000,101.820596
0.014000,101.830455
0.015000,100.963177
0.016000,101.318740
0.017000,101.423264
0.018000,100.289799
0.019000,99.495899
0.020000,100.394557
0.021000,100.595536
0.022000,100.745628
0.023000,100.490119
0.024000,99.882180
0.025000,99.849840
0.026000,98.011516
0.027000,98.688774
0.028000,97.947791
0.029000,98.500879
0.030000,99.133477
0.031000,100.620897
0.032000,100.316881
0.033000,99.341262
0.034000,99.172630
0.035000,98.583036
0.036000,98.400502
0.037000,98.912607
0.038000,98.555229
0.039000,97.745498
0.040000,97.441987
0.041000,96.891274
0.042000,97.170160
0.043000,96.947718
0.044000,95.036620
0.045000,94.766177
0.046000,93.712430
0.047000,93.518890
0.048000,93.201558
0.049000,93.256963
0.050000,94.066054
0.051000,93.600313
0.052000,93.442247
0.053000,93.840691
0.054000,94.611503
0.055000,95.550543
0.056000,96.020727
0.057000,96.917870
0.058000,97.453526
0.059000,97.690696
0.060000,98.548017
0.061000,98.044346
0.062000,97.965050
0.063000,97.096725
0.064000,96.516724
0.065000,95.960331
0.066000,93.875121
0.067000,93.557470
0.068000,93.673729
0.069000,93.735606
0.070000,95.380945
0.071000,95.686789
0.072000,97.643132
0.073000,97.986988
0.074000,96.765437
0.075000,96.247948
0.076000,95.961546
0.077000,95.939776
0.078000,95.178630
0.079000,97.364660
0.080000,98.456227
0.081000,97.586588
0.082000,96.869162
0.083000,95.526904
0.084000,95.266111
0.085000,93.599664
0.086000,92.585116
0.087000,92.783148
0.088000,92.266407
0.089000,92.818591
0.090000,91.989726
0.091000,92.853774
0.092000,93.415781
0.093000,93.971436
0.094000,94.565807
0.095000,95.511131
0.096000,93.915482
0.097000,93.610301
0.098000,94.054805
0.099000,94.036197
0.100000,94.127832
0.101000,99.900237
0.102000,99.728688
0.103000,98.351614
0.104000,99.453843
0.105000,98.163324
0.106000,97.209699
0.107000,97.358827
0.108000,97.835903
0.109000,98.487097
0.110000,98.702676
0.111000,98.031127
0.112000,99.166211
0.113000,100.713179
0.114000,99.650436
0.115000,99.093720
0.116000,100.388092
0.117000,99.868218
0.118000,100.019072
0.119000,100.130105
0.120000,99.740029
