Time (Years),Stock Price
0.000000,100.000000
0.001000,99.793228
0.002000,98.732240
0.003000,98.091339
0.004000,97.180276
0.005000,96.175472
0.006000,96.853991
0.007000,97.981274
0.008000,96.913831
0.009000,97.168871
0.010000,97.285259
0.011000,97.346904
0.012000,97.918720
0.013000,97.395907
0.014000,98.062430
0.015000,98.889106
0.016000,99.382447
0.017000,99.143898
0.018000,99.359044
0.019000,99.473467
0.020000,99.655001
0.021000,100.638157
0.022000,100.794611
0.023000,100.494493
0.024000,100.919646
0.025000,102.147248
0.026000,102.882003
0.027000,102.691849
0.028000,102.312871
0.029000,103.116389
0.030000,101.584293
0.031000,102.587115
0.032000,101.067349
0.033000,99.680197
0.034000,99.976523
0.035000,98.870354
0.036000,99.496178
0.037000,99.956244
0.038000,98.903887
0.039000,98.556095
0.040000,99.670903
0.041000,98.310690
0.042000,99.514826
0.043000,98.495772
0.044000,98.640265
0.045000,98.759487
0.046000,100.170830
0.047000,100.267473
0.048000,100.595739
0.049000,101.761085
0.050000,100.548391
0.051000,99.822094
0.052000,100.560839
0.053000,100.562599
0.054000,100.483868
0.055000,99.056861
0.056000,99.487948
0.057000,100.122725
0.058000,99.551827
0.059000,99.448228
0.060000,99.497160
0.061000,100.906015
0.062000,100.418318
0.063000,100.846410
0.064000,100.765884
0.065000,101.409214
0.066000,101.252010
0.067000,101.577514
0.068000,102.681153
0.069000,103.291815
0.070000,103.808787
0.071000,103.191087
0.072000,103.672088
0.073000,105.080777
0.074000,105.353560
0.075000,104.199600
0.076000,104.782436
0.077000,105.406887
0.078000,106.903807
0.079000,107.894540
0.080000,108.040744
0.081000,109.393703
0.082000,108.441801
0.083000,108.703238
0.084000,108.290362
0.085000,108.055461
0.086000,106.232721
0.087000,105.348141
0.088000,104.225347
0.089000,104.136825
0.090000,105.498897
0.091000,108.091357
0.092000,107.157986
0.093000,107.984082
0.094000,107.724217
0.095000,109.027489
0.096000,110.055574
0.097000,110.069082
0.098000,110.397385
0.099000,111.409802
0.100000,110.855224
0.101000,115.616360
0.102000,115.597143
0.103000,115.413106
0.104000,114.974151
0.105000,114.676595
0.106000,114.565481
0.107000,116.063668
0.108000,116.393358
