Time (Years),Stock Price
0.000000,100.000000
0.001000,100.830675
0.002000,101.141793
0.003000,100.723670
0.004000,100.792251
0.005000,101.301473
0.006000,101.865150
0.007000,101.565077
0.008000,99.645650
0.009000,99.553072
0.010000,100.530455
0.011000,98.608071
0.012000,99.755364
0.013000,99.515562
0.014000,100.801843
0.015000,99.753113
0.016000,99.646924
0.017000,98.703928
0.018000,97.949767
0.019000,97.936805
0.020000,97.300246
0.021000,97.377540
0.022000,97.590297
0.023000,98.307371
0.024000,97.039984
0.025000,97.537440
0.026000,98.135007
0.027000,96.761876
0.028000,96.009650
0.029000,95.269120
0.030000,95.118225
0.031000,95.136547
0.032000,94.818947
0.033000,94.572519
0.034000,95.149522
0.035000,94.498196
0.036000,94.591920
0.037000,93.924971
0.038000,95.494650
0.039000,95.281140
0.040000,95.671199
0.041000,95.802380
0.042000,95.826683
0.043000,96.137108
0.044000,96.983536
0.045000,96.972936
0.046000,98.633123
0.047000,98.057263
0.048000,97.104711
0.049000,97.324431
0.050000,97.579597
0.051000,98.236259
0.052000,99.024329
0.053000,98.968367
0.054000,98.997990
0.055000,98.333064
0.056000,96.853254
0.057000,98.055348
0.058000,97.882343
0.059000,97.061321
0.060000,95.781270
0.061000,95.976765
0.062000,95.387282
0.063000,94.680967
0.064000,95.794460
0.065000,96.198678
0.066000,95.407436
0.067000,95.844689
0.068000,95.919476
0.069000,96.851497
0.070000,97.051324
0.071000,97.788297
0.072000,98.292013
0.073000,98.336096
0.074000,99.091824
0.075000,100.846684
0.076000,101.015519
0.077000,102.406843
0.078000,102.366793
0.079000,102.333235
0.080000,102.489037
0.081000,101.669883
0.082000,101.214167
0.083000,101.914847
0.084000,102.220165
0.085000,101.944674
0.086000,101.874194
0.087000,100.619558
0.088000,101.279549
0.089000,102.274923
0.090000,103.139767
0.091000,103.941051
0.092000,103.320006
0.093000,102.914692
0.094000,103.123457
0.095000,103.501907
0.096000,103.451797
0.097000,103.272279
0.098000,103.926551
0.099000,103.544138
0.100000,104.402324
0.101000,124.172467
0.102000,122.727190
0.103000,123.242875
0.104000,123.915046
0.105000,123.943704
0.106000,124.349647
0.107000,124.367879
0.108000,124.502483
0.109000,125.265724
0.110000,125.884665
0.111000,124.974255
0.112000,122.802624
0.113000,123.177157
0.114000,122.608295
0.115000,123.439960
0.116000,122.729436
0.117000,121.918620
0.118000,120.644327
0.119000,121.701801
0.120000,121.126928
0.121000,120.890422
0.122000,121.356355
0.123000,119.282383
0.124000,119.155108
0.125000,118.472742
0.126000,118.665346
0.127000,120.633422
0.128000,120.827686
0.129000,119.771590
0.130000,118.670129
0.131000,118.993452
0.132000,119.961471
